date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
3/1/2020,123321.0096,2495.363894,2075.566063,572,408,123,177,110,31,0,0,0,0
3/2/2020,123490.6353,2245.191733,4167.864746,648,894,489,318,269,108,0,0,0,0
3/3/2020,122680.7952,3358.02472,3860.714193,725,286,402,269,279,115,0,0,0,0
3/4/2020,122246.7412,3426.660148,3083.020153,841,315,341,271,235,101,6,0,0,0
3/5/2020,122219.2544,3055.533324,3981.163291,815,711,338,358,372,168,3,0,0,0
3/6/2020,121950.28,3712.188914,3663.377506,1038,633,279,292,294,139,9,0,0,0
3/7/2020,122174.8162,3887.91375,1631.276075,625,219,128,120,94,30,1,0,0,0
3/8/2020,122868.1874,2324.647196,1937.079935,623,436,134,172,147,47,3,0,0,0
3/9/2020,123035.358,2104.250585,4115.08668,708,959,602,286,323,162,16,0,0,0
3/10/2020,122415.4781,3495.206743,3668.583751,921,357,619,260,368,165,19,0,0,0
3/11/2020,122181.1603,3434.265992,4019.714293,991,456,498,418,392,183,18,0,0,0
3/12/2020,121554.7904,3393.344399,3508.385722,852,512,344,363,329,212,21,0,0,0
3/13/2020,121337.8361,3291.431436,3682.299011,916,590,362,370,360,189,22,0,0,0
3/14/2020,120895.8552,3240.318094,1692.716594,614,219,109,125,119,47,6,0,0,0
3/15/2020,121842.2662,2132.127618,1977.730479,571,310,133,180,145,52,8,0,0,0
3/16/2020,121761.1464,1896.610658,4798.440624,672,996,749,520,516,236,33,0,0,0
3/17/2020,119206.0139,2243.308122,4363.605841,692,395,734,590,452,318,57,0,0,0
3/18/2020,116857.5162,2015.108122,3878.74838,615,365,501,450,556,249,45,0,0,0
3/19/2020,114785.611,1806.843161,3789.200761,562,372,357,512,573,311,57,0,0,0
3/20/2020,112588.8724,1592.462209,3433.518943,546,310,285,491,534,235,40,0,0,0
3/21/2020,110621.4672,1466.113724,1191.857832,337,108,75,115,126,62,12,0,0,0
3/22/2020,110510.3792,1080.769785,1175.101682,273,107,47,118,133,76,22,0,0,0
3/23/2020,110216.7601,881.4826191,3234.208331,386,446,336,400,415,298,50,0,0,0
3/24/2020,108226.8967,1244.34495,3120.156437,405,147,245,346,501,354,57,0,0,0
3/25/2020,106436.6138,1329.873521,2671.311199,430,142,200,283,414,303,60,0,0,0
3/26/2020,104883.9618,1118.659236,2392.519135,346,167,147,235,401,254,47,0,0,0
3/27/2020,103696.0591,1204.616379,2300.977469,391,166,108,191,346,236,47,0,0,0
3/28/2020,102537.2397,1142.158045,851.7764586,245,69,32,40,88,40,13,0,0,0
3/29/2020,102709.4955,1024.032288,930.8188829,270,92,41,50,67,54,8,0,0,0
3/30/2020,102659.0513,880.3747119,2194.929994,326,390,173,147,243,232,47,0,0,0
3/31/2020,101547.0071,1082.885823,2129.099076,332,142,138,109,308,259,72,0,0,0
4/1/2020,100526.0671,1108.159072,2360.668521,374,160,162,162,339,216,81,0,0,0
4/2/2020,99293.01602,1127.617405,2096.061378,321,161,111,143,324,246,62,1,0,0
4/3/2020,98428.37264,1108.418,1942.991681,375,139,102,119,263,264,51,3,0,0
4/4/2020,97513.14442,1027.763455,877.9777918,266,65,33,42,70,59,10,0,0,0
4/5/2020,97485.20984,850.0432168,847.6111252,216,67,31,33,59,62,22,1,0,0
4/6/2020,97433.0086,795.4098835,1905.770847,295,294,181,93,195,235,50,6,0,0
4/7/2020,96524.46014,997.2223835,1784.381959,294,131,152,98,195,236,70,6,0,0
4/8/2020,95814.30056,1074.222383,1714.921945,388,130,119,98,168,211,65,9,0,0
